parcel_id,zone_code
"29 3701-00-777","RR-65"
"28 3735-25-*-44","RS-10"
"29 3808-25-*-1","RS-21"
"29 3712-00-319","RR-65"
"29 3808-25-*-2","RS-21"
"29 3808-25-*-3","RS-21"
"29 3808-25-*-4","RS-21"
"29 3712-00-307","RR-65"
"29 3711-00-277","RR-65"
"29 3712-00-281","RR-65"
"29 3712-00-315","RR-65"
"29 3710-00-298","CG"
"29 3710-00-285","CG"
"29 3711-00-324","RR-65"
"29 3711-00-282","RR-65"
"29 3807-00-1.1","INS"
"29 3710-00-287","CL"
"29 3807-00-250","INS"
"29 3712-00-31","RR-65"
"29 3712-00-69","RR-65"
"29 3712-00-35","RR-65"
"29 3712-00-36","RR-65"
"29 3712-00-47","RR-65"
"29 3712-00-79","RR-65"
"29 3712-00-54","RR-65"
"29 3712-00-29","RR-65"
"29 3712-00-250","RR-65"
"29 3712-00-261","RR-65"
"29 3712-00-323","RR-65"
"29 3712-00-312","RR-65"
"29 3712-00-341","RR-65"
"29 3712-00-316","RR-65"
"29 3712-00-314","RR-65"
"29 3712-00-254","RR-65"
"29 3712-00-338","RR-65"
"29 3711-00-40","RR-65"
"29 3711-00-45","RR-65"
"29 3805-00-504","INS"
"29 3711-00-24","RR-65"
"29 3711-00-336","RR-65"
"29 3805-50-*-4","RS-21"
"29 3711-00-276","RR-65"
"29 3805-50-*-5","RS-21"
"29 3711-00-301","RR-65"
"29 3711-00-253","RR-65"
"29 3711-00-302","RR-65"
"29 3710-00-10","RR-65"
"29 3711-00-333","RR-65"
"29 3710-00-39","RR-65"
"29 3710-00-11","RR-65"
"29 3710-00-77","RR-65"
"29 3805-50-*-3","RS-21"
"29 3710-00-33","RR-65"
"29 3710-00-44","RR-65"
"29 3710-00-101","RR-65"
"29 3710-00-40","RR-65"
"29 3710-00-63","RR-65"
"29 3710-00-104","RR-65"
"29 3710-00-58","RR-65"
"29 3710-00-80","RR-65"
"29 3710-00-250","RR-65"
"29 3710-00-251","RR-65"
"29 3710-00-252","RR-65"
"29 3805-50-*-6","RS-21"
"29 3710-00-264","CG"
"29 3710-00-274","RR-65"
"29 3710-00-254","RR-65"
"29 3805-50-A","CP"
"29 3701-00-768","RR-65"
